A_0	A_1	A_2	A_3	A_4	A_5	A_6	A_7	A_8	A_9	A_10	A_11	A_12	A_13	A_14	A_15	A_16	A_17	A_18	A_19	A_20	A_21	A_22	A_23	A_24	A_25	A_26	A_27	A_28	A_29	A_30	A_31	A_32	A_33	A_34	A_35	A_36	A_37	A_38	A_39	A_40	A_41	A_42	A_43	A_44	A_45	A_46	A_47	A_48	A_49	A_50	A_51	A_52	A_53	A_54	A_55	A_56	A_57	A_58	A_59	A_60	A_61	A_62	A_63	A_64	A_65	A_66	A_67	A_68	A_69	A_70	A_71	A_72	A_73	A_74	A_75	A_76	A_77	A_78	A_79	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
-1.47817886749725;1.92494647200525	#	-1.61022226298636;3.199413766590874	#	#	#	#	#	#	#	-7.1455391752996;-2.8132725464289	#	#	-0.34889355101254993;0.88791362353455	#	#	#	#	#	-0.5191661633774642;0.3075180934162035	#	-0.14165973913052998;0.66616856612653	#	#	#	#	#	#	#	#	#	#	#	#	#	#	-8.4861829952096;-4.0396344471904	#	#	#	#	-0.51378118639191;1.03930996467191	#	-0.361860521533145;0.8454934778751451	-8.7653749449819;-3.9852121224781003	#	-9.1765523387244;-4.3206100846556	-0.316151241635505;0.703044422345505	#	#	-8.678381385508;-4.774438598572	-0.25707830943559;0.7960670423315901	#	#	#	#	#	#	#	#	#	#	-9.8547389235841;-6.7801613265559	#	-9.413299828662;-7.747071377157999	#	-11.751204276258832;-6.8000582771380005	-0.128231418972518;1.143216715704518	-9.1333356086726;-7.1890683094874	-0.14729823908296247;0.8614810567318076	#	0.3613501740222636;1.1919226975402961	#	0.249419275539371;0.8872857572226291	-10.3015809184184;-7.309165284641599	#	#	#	-10.2766273740699;-8.135300816690101	#	car	0.670176922268936	0.9230769230769231	1	25.759530341272704	349984	347324	0.3	25.759530341272704	24	26
-11.093937470112541;-4.88794155525915	#	-7.56438192872673;-4.646335660898901	#	#	#	#	#	#	#	#	#	#	0.07064044973288003;0.7556413464051199	#	#	#	#	#	0.06280615862032501;0.779904382393675	#	-0.08466063496588999;1.02375494666589	-8.484615605304185;-5.1431024064467	#	#	0.055494303025939995;0.7214693539160599	#	#	#	0.13509958765633506;0.50765076502305	-10.28901924863355;-5.5063879376464495	#	-10.3119897563317;-7.1484916605883	#	#	#	#	#	#	#	#	-0.36045656015149996;0.7332696025695	#	#	#	-0.17236822488208492;1.0990751592460848	-10.254119680508799;-3.360988127699669	-0.352553122488055;0.8664848285480551	#	#	#	#	#	#	#	#	#	-0.12386662635507995;1.21197830944908	#	#	#	-0.603761854840005;0.8252770153380049	#	#	-12.057091085966;-9.141191295833998	-0.40379499119563206;0.6717251132656321	#	#	#	#	#	-0.463346707926105;0.863163602416105	#	#	#	#	#	#	-12.2835212127456;-9.8362908614544	#	forest_path	0.051544044179978286	0.5526315789473685	1	23.402842186391247	349964	347361	0.25	23.402842186391247	63	114
-5.40824080129185;-0.37161529882815003	#	#	#	#	#	-5.2195839627881;-2.9278330150919007	#	#	#	#	#	-6.699659429356;-2.3652575243439995	0.10704604232258003;0.60176891214142	-6.769547305082801;-2.4346133888972	-0.26641385792863;1.00973097196663	#	#	#	#	#	#	#	-0.11136878706996;0.77496620424396	#	0.24971933035422916;0.9029180392171	#	#	#	#	-6.99373991582652;-5.041411804288701	#	#	0.018280390486399956;0.6837442524036	-8.163566701476;-3.967342199244	#	#	#	#	#	-8.0954136990605;-5.2670158242994995	#	-8.160587945762;-5.666837183058	#	#	-0.04118105889838003;0.7251683781103799	-9.259278653452;-4.665819764467999	-0.025899986544955067;0.7934533903809551	-8.6773699814706;-5.2581050727294	0.14670319244631996;0.7276624561196801	#	#	#	0.18546945860779995;0.7017161044922	-9.738699866113599;-5.047084629726401	#	-7.901116563224201;-5.6713657148158	#	#	0.8991774608593059;1.387187631180694	-9.7208569387425;-5.8156473565575	#	#	#	#	#	-9.154414209238;-6.8743791305020014	#	#	#	-9.370402853807901;-7.743564414292101	0.6641629618384174;1.7064210628215823	#	0.45672499931540844;1.5636109528245914	#	#	-9.8911244970833;-7.8185123432367005	#	#	#	metro_station	0.1	1.0	1	1.0	347375	347375	0.35	1.0	0	0
-5.40824080129185;-0.37161529882815003	#	#	#	#	#	-5.2195839627881;-2.9278330150919007	#	#	#	#	#	-6.699659429356;-2.3652575243439995	0.10704604232258003;0.60176891214142	-6.769547305082801;-2.4346133888972	-0.26641385792863;1.00973097196663	#	#	#	#	#	#	#	-0.11136878706996;0.77496620424396	#	0.24971933035422916;0.9029180392171	#	#	#	#	-6.7927979181713;-5.041411804288701	#	#	0.018280390486399956;0.6837442524036	#	#	#	#	#	#	-8.0954136990605;-5.2670158242994995	#	-8.160587945762;-5.666837183058	#	#	-0.04118105889838003;0.7251683781103799	-9.259278653452;-4.665819764467999	-0.025899986544955067;0.7934533903809551	-8.6773699814706;-5.2581050727294	0.14670319244631996;0.7276624561196801	#	#	#	0.18546945860779995;0.7017161044922	-9.738699866113599;-5.047084629726401	#	-7.901116563224201;-5.6713657148158	#	#	0.8991774608593059;1.387187631180694	-9.7208569387425;-5.8156473565575	#	#	#	#	#	#	#	#	#	-9.370402853807901;-7.743564414292101	#	-9.1909644204875;-8.039891680452499	0.45672499931540844;1.5636109528245914	#	#	-9.8911244970833;-7.8185123432367005	#	#	#	metro_station	0.1	1.0	1	1.0	347375	347375	0.325	1.0	0	0
#	-0.05830847704575998;1.2944897146663639	#	-0.286617765256875;1.1578414338828749	#	#	#	#	-4.130793963653604;-3.841064210804	#	#	0.5856427817536299;1.28450961463895	-7.61533355224825;-3.46153172661175	0.5753255815482201;1.22227087284978	-6.300092369921201;-3.3038880454988	#	-6.8745356966648;-3.6851901192152	#	#	#	#	0.17700148720085995;1.23503827240198	-5.3695180591808;-3.5320439028392	#	#	#	#	#	#	0.21231949049343002;1.25552282695257	-6.75469886118195;-4.127619690358049	#	#	0.24734469110262503;1.52116440491848	#	#	#	#	#	0.2722535629453898;1.5282577579266103	-7.7320800577205;-3.839838973463045	#	-8.1862800332438;-5.0041467288416	0.3923340989313;1.5798954098247	#	#	-10.782831776499348;-4.3710272544999995	#	-9.2768402655424;-4.226164048208	0.23196219062072004;1.13567660077928	-9.131585409519001;-5.552971188161	-0.009503876027760039;1.31209029089576	#	0.32193149922861997;0.95863569581938	-9.3858111261908;-5.0851638261692	0.17542096756230008;1.4244196497356998	#	0.16568019156355995;1.25105420190444	-10.1999364517133;-7.051654919686699	#	-10.5899247300108;-7.8823127530292005	0.24875573474479606;1.391986830887204	-11.7567329727419;-8.3585156286581	0.53963296788344;1.44677017519856	#	#	#	0.45166925279324643;1.2182776869367535	#	#	-10.924775159201;-7.9857622802078	#	-11.2141557578475;-9.5514951333525	-0.1693816804618875;1.2376767350158875	#	#	#	-0.11934954514209606;0.817116551598096	-11.473440716189899;-10.3785695604156	#	residential_area	0.1	1.0	1	16.0	347382	347382	0.4625	16.0	0	0
#	#	-2.97350665781169;2.6650013025753996	-0.35021520876502;0.95942779845502	#	#	-4.099568844335;-1.0026081042050004	0.18894424213975003;1.357769161095448	-4.0702812046955;-1.9817093489844997	-0.006162410968499954;0.7547831964425	-4.1242091866897;-1.6168707269503002	0.09376861986075996;0.8341749094912401	-3.3525202688760003;-1.4261194222040001	-0.06669267441422;1.18914230281822	#	0.24607091593416003;0.79791732886184	#	0.11842692674236;0.9514293406636399	-3.77001624611445;-0.12527988954555003	-0.011726355287625112;1.0722593318116251	#	#	#	#	-4.4634380088891;-1.6624313889909	0.08863394570008992;0.93960206628191	#	#	-4.786118545797001;-0.7144805511030001	#	#	0.36571873420597995;0.87141248259202	#	#	#	0.12045978548420494;1.100338686095795	-5.2434711207438;-0.5884906095361995	#	-4.24434174698;-2.2164755650399997	-0.19280830680183014;1.37168814659583	#	0.27969423437791;0.9140554087560899	-4.6799043486288;-3.0589663528711997	#	#	0.06462606392739506;0.918060664232605	-5.9811611242908;-1.5189439178492	-0.1844844197905251;0.914648159012525	#	#	#	#	-5.66087721304425;-2.95040602165575	0.48336362529613996;1.15448426494586	-6.002515763822;-3.396062854718	0.10608808154662508;1.6673364342633747	-6.96480092026665;-3.4343620769533496	0.27778110906674003;1.4883905821392598	#	0.430448575710832;1.225724408827168	#	#	-7.846964790139;-6.228766054861	0.31581841257869997;1.0717660853413	#	0.347087408759496;0.961670325594504	#	0.5115890814721511;1.244504872990091	#	0.18832070197762152;1.0010605490283786	-9.6911791106022;-6.7892510833578	#	-9.463298027835;-7.502211137405	-0.003732187672591536;1.1031537658365915	#	0.298771683225033;0.766378650570967	#	#	-9.7173613511185;-8.1878423815615	0.32461354470073;0.75345003389327	train	0.1	1.0	1	2.5	347402	347402	0.5625	2.5	0	0
-6.564903667596825;-1.703511980163725	0.46820663566848797;1.150041957085588	#	#	#	#	#	0.6567281443113501;1.65408049372865	#	0.6974612762663749;1.890762342433625	#	0.9025190195508199;1.87850912860918	-8.249699562488;-3.8123143986865005	#	#	1.2767878901181549;2.0879010900897	#	#	#	#	-7.3962271857960005;-4.740337519923999	1.03117644281701;2.32745907218299	-9.1641419913792;-3.8809081790952	1.22432644552304;2.11066143683696	-9.1672715704485;-3.9971849366486003	#	-8.8432683206619;-3.8981858369980995	1.4175702627889801;1.9515002107406798	-8.182525624000451;-5.40023966095955	1.2063979197113701;2.1025334317621347	-8.4356839375823;-4.4216435769072	1.44508218472446;1.8058195637057954	#	#	-7.333566558426799;-5.743741346369	1.493123627245935;2.353017356354065	#	1.3238893012589399;2.4744770261610602	-8.273217389227;-5.499655597979	1.0681781901003098;2.23604173981969	#	1.13441724529997;2.33713436015934	#	1.196921560800745;2.364690183179255	#	#	#	#	#	#	-7.785988131325;-6.159345303435	1.0542035618364198;2.33449791104358	#	#	#	#	-9.13059507368215;-6.47661067710785	#	-8.9746703781608;-7.2072140794792	1.391930873639306;1.879941043960694	#	0.7402342678073525;2.0671989329726475	-9.7336076568842;-7.8996490902358	#	-10.81960990958725;-7.12266553281275	0.9360992062081199;1.7043278522518799	#	#	-10.16410223698105;-8.280186027009051	0.630193371352421;1.5176503899973834	-10.002093081687502;-8.9028779198525	0.6536615970314326;1.5064182251085676	-10.3470546144075;-8.5138646950925	0.527093933424964;1.2214327880232214	-10.233120336557999;-8.839414386012699	0.4306770023002875;1.5529253400597125	-11.0911473868848;-9.3758821561152	0.20637885522754396;1.3593477040300639	#	#	home	1.0	1.0	1	3.0	349223	347429	0.55	3.0	1	1
#	0.699494292405884;1.231459122624116	#	0.1197130464681001;1.2752804057798999	-6.6564767603902;-2.5074931199697996	0.26541713436972003;0.82976393534628	#	-0.10847839627435002;0.99385841097635	-6.86088568175475;-3.6051707302052503	-0.19298485568174994;0.87925668203375	-6.963188954358849;-3.32157833426115	-0.03452443955740003;0.6385721873794	-5.866554189909;-4.1809534490710005	#	#	#	#	-0.24031242606583997;0.88327222526984	#	#	#	#	-6.819345343078401;-3.9318859545416	#	#	#	-6.9643259363584;-5.0675819700216005	#	#	-0.36259149317945005;0.81521872540345	#	-0.08615924487838003;0.5500361159943801	#	#	#	#	#	#	-9.027620365366;-6.053416631854	#	-9.0424309041621;-5.9626198849779	#	#	-0.18712903431392008;0.9212615225199201	-9.38122434280905;-5.31162626419095	-0.30739136112643994;0.9466349903424399	-8.5039187713316;-6.141568485568399	#	#	#	-8.8982459983864;-6.4257488999936	#	-9.23537346769425;-6.52490227630575	-0.27022465168596005;0.6590193109059601	-9.9175779475438;-6.5943504884362	-0.09761644960879495;0.547699536180795	-10.486689962523549;-6.83237607207645	-0.34500051582322994;0.88648153437123	-9.8399648031832;-8.293440541836802	#	#	-0.13985006954491885;1.2075294366229188	#	0.25188299408382997;0.93223589957017	-10.83396692944525;-8.80325100417475	0.151772772747291;1.054441431848709	-11.0109139473075;-8.8733810609925	#	-10.6796635837495;-9.354026788850499	#	#	#	-11.4668753016075;-8.781038908192501	0.026117531371371516;1.1705250426266285	#	0.33772119570957393;0.841297929774426	-10.71691916476165;-9.680613087838351	0.31920450428828;0.8394634469217199	#	#	beach	1.0	1.0	1	5.5	349025	347449	0.5	5.5	2	2
-1.6782140768130749;1.248473715159075	#	-2.4292525160316902;-0.0203469244683101	#	#	#	#	#	#	#	#	#	#	0.24892667304820004;1.0100387804618	#	#	#	#	-6.047525726328351;-1.9901777067516506	#	#	-0.02913999997124994;1.37986285803525	-5.7716116537666995;-2.6872800341932996	#	-6.44027302321105;-2.98840538398185	#	#	0.2658592066525399;1.3498070154614599	#	#	-6.5349277315226;-3.0321555037573997	0.3110773160341;1.0451488862719	#	#	#	#	#	0.39704255959196;1.16410104286004	-7.151865573759;-3.704493064461	#	#	#	-7.0662298690386;-4.1360727228614005	0.20601709183107497;1.4925418452989252	-6.828848792914;-4.244976996966001	#	-7.7374324390492;-3.3335536091016	#	-7.5431868976498;-4.3819797178702	#	-7.5771108472868;-3.9334309128132	0.34093700336032995;1.6418812614256701	#	0.5997753965217001;1.3741453653483	#	0.5909007342864201;1.50683310121358	#	#	#	0.597976121830442;1.302879701183558	#	#	#	#	#	#	#	0.44305954791674096;1.078783615255259	#	#	-8.7032729277978;-7.537526564415799	#	#	#	#	#	#	0.32964701367648797;0.988641674345512	#	0.1636925675921399;1.28526492394186	tram	0.0015088388150337464	0.2727272727272727	1	12.0512512	349474	347450	0.325	12.0512512	3	11
#	#	-1.7842199198428006;-0.0203469244683101	#	-0.9454024121341498;-0.3545588985133712	#	#	#	#	#	-4.8840968418768;-2.0185671736032003	0.04146635903698004;1.0847661307890202	-4.8521395700155;-2.0829383529245	#	-5.857095652536;-1.8498570886011996	0.39664657182815505;0.931247784351845	#	#	#	#	#	#	#	#	-6.52300897575815;-3.03905069904895	#	-6.138935618574401;-2.8873745334256	#	#	#	#	0.15007676649233992;1.34090398043366	-6.4474457379218;-3.8897238732782	#	#	#	#	#	#	0.1490724669974699;1.4932173072405301	#	#	-7.0662298690386;-4.1360727228614005	0.35814946228620004;1.1498570028818	-6.828848792914;-4.244976996966001	0.1361297756947849;1.3030709638672149	#	0.22667770078473992;1.2658575934712601	#	#	#	0.34093700336032995;1.6418812614256701	-7.1852099375485;-4.4086296927115	#	#	0.5909007342864201;1.50683310121358	#	0.41602291039888994;1.73099526908111	#	#	#	#	#	#	#	#	#	0.44305954791674096;1.078783615255259	#	#	-8.6807103327242;-7.2083403077022	#	-9.375955539222499;-6.7753837932175	#	#	#	-9.51699588045715;-7.408649034302849	#	-9.3711041707125;-8.5213714098475	0.1636925675921399;1.28526492394186	tram	0.051562500000000004	0.75	1	10.0	347450	347450	0.3375	10.0	0	0
#	#	#	#	-5.031160050046751;-2.28550911153325	#	#	#	-3.3152392164960003;-2.78547996393073	0.6375066841358751;1.0698621428921251	#	#	-6.477055115028;-3.1058536333519995	#	-5.9011976258048;-3.4787345549951993	#	#	0.3905192054935599;1.41724311102444	-5.7418219095086;-2.7160030474514	#	-5.4012652549556;-3.1437590389643995	0.22411015995882;1.31373903681718	#	#	#	#	-6.878917108800401;-2.2725389048396	0.43368134103332;0.89353798719468	#	0.45946424111689;0.89693660801911	-5.890461537951349;-4.07171441968865	#	#	#	#	#	-7.1901298917728;-3.5773091965071995	0.62263100355052;1.30446076645548	-9.394206622263265;-3.5264165334529998	#	-7.3992151994731;-4.9479370413469	0.55038819493508;1.6878634041649199	-8.4284245498908;-4.3137357914292	0.7802892831721999;1.5719968237678	#	0.927678488521005;1.467606500958995	-7.3654433485236;-5.3311972691164	#	#	#	-7.6395876336176;-4.906827682762399	0.81544333299276;1.55884005188724	#	#	#	#	#	#	#	0.843234366376662;1.367393438203338	-9.4020376330781;-7.3713286503418995	0.8630060262705834;1.4958660973494164	#	#	#	#	-9.680013355715;-8.254991431505	0.8031300258528979;1.775413893547102	#	0.5469108841328371;1.9455794581271628	#	#	-11.00994004228;-8.622529914800001	#	-10.90858479562215;-8.95520236801785	#	-11.35944573841565;-8.893751969184349	0.43055881951369596;1.228289198218304	-11.2201608997439;-9.758620551056099	0.4447942339903349;0.890124434305665	residential_area	0.04018775720164611	0.8333333333333334	1	4.88	347479	347479	0.45	4.88	0	0
#	#	#	#	-5.031160050046751;-2.28550911153325	#	#	#	-5.280953904224;-3.3152392164960003	0.6375066841358751;1.0698621428921251	#	#	-6.477055115028;-3.1058536333519995	#	-5.9011976258048;-3.4787345549951993	#	#	0.3905192054935599;1.41724311102444	-5.7418219095086;-2.7160030474514	#	-5.4012652549556;-3.1437590389643995	0.22411015995882;1.31373903681718	#	#	#	#	-6.878917108800401;-2.2725389048396	0.43368134103332;0.89353798719468	#	0.45946424111689;0.89693660801911	-5.890461537951349;-4.07171441968865	#	#	#	#	#	#	0.62263100355052;1.30446076645548	-7.784935515527;-3.5264165334529998	#	-7.3992151994731;-4.9479370413469	0.55038819493508;1.6878634041649199	-8.4284245498908;-4.3137357914292	0.7802892831721999;1.5719968237678	#	0.927678488521005;1.467606500958995	-7.3654433485236;-5.3311972691164	#	#	#	-7.6395876336176;-4.906827682762399	0.81544333299276;1.55884005188724	#	#	-8.5475208623772;-5.6804226623628	#	#	#	#	0.843234366376662;1.367393438203338	-9.4020376330781;-7.3713286503418995	0.8630060262705834;1.4958660973494164	#	#	#	#	-9.680013355715;-8.254991431505	0.8031300258528979;1.775413893547102	#	1.0161243921972236;1.9455794581271628	#	#	-11.00994004228;-8.622529914800001	#	-10.90858479562215;-8.95520236801785	#	-11.35944573841565;-8.893751969184349	0.8537039381668572;1.228289198218304	-11.2201608997439;-9.758620551056099	0.4447942339903349;0.890124434305665	residential_area	0.04018775720164611	0.8333333333333334	1	4.88	347479	347479	0.45	4.88	0	0
#	#	#	#	#	-0.01089754881442001;0.83562265265042	#	#	#	0.02087723750300008;1.1277072119190001	-4.873089404643149;-1.35087585405685	#	-4.9447129911572505;-1.5133114830227499	0.0675624587868201;1.0950638037951799	#	#	#	#	#	#	-4.6682454819904;-1.0331250367737999	#	#	#	-5.453781756371089;-1.5624503135964	#	#	#	#	-0.2671316311053899;0.9779820285393899	#	-0.22383068769124004;0.9506838246892401	#	#	-4.9158010854798;1.3402174183792999	-0.16198768485452514;0.9378763872605251	-4.9355559131774;-2.0869857496026	#	-5.594961640197999;-0.7280828035420002	0.19926485068901995;0.77217904489098	-6.2930680411714;-2.1447511581885994	-0.050513382888299985;0.6057223147442999	#	#	#	#	#	#	-4.6203005154153995;-2.8784108449245998	#	-5.6310590708588;-3.0025968309724	#	-6.13425658898375;-1.937044826465728	#	#	#	-6.8026355442987505;-3.7667881171881996	#	#	#	#	-0.07922699331548894;0.8598556928014889	-7.7374135047428;-5.7336003727206	#	#	#	-7.7229236034135;-5.370634040626499	#	-8.7686780260657;-5.6818130998109	#	-9.4320529600025;-6.3726241492511	0.038648116994115966;1.099856365267884	-8.006913668120001;-5.9392459684275005	-0.046182433011073;1.082295161467851	-8.7683365389508;-7.140020577391299	#	-8.4323397473755;-7.3602989781445	0.23806623094059198;0.966428750627408	#	#	city_center	1.0	1.0	1	8.0	349572	347521	0.3875	8.0	2	2
-4.796160964671751;-0.03178548936824965	#	-4.54580483054598;-1.0301047779940198	#	#	#	-5.3040441974554;-1.7115697389046005	0.013330348938000114;1.063174927272	#	0.12992531138362506;0.873576700444375	-5.2291635659383005;-2.9606192452217	0.15946118871172998;0.78207556862827	#	#	#	#	-5.5596896870828;-3.6992381002371992	-0.03834800083084;1.0852366505048399	-10.000309969109482;-3.964154760957806	-0.04628397584460009;0.8876113853486001	-7.3587404901448;-2.5781390915751996	#	-6.173692743599401;-2.6299925849405996	#	#	#	-6.926130974335;-3.5390881773049996	0.05051641999387996;0.9045359057221201	-6.46748127372085;-4.22808037663915	#	#	0.03754246286689994;0.9347410487131	-6.5183181601674;-4.2298301760126	#	-7.040544477654199;-3.7535019509058	-0.07433747720916517;1.185506823577165	-6.945832640405801;-3.6803985504542	0.24399558090657003;1.03236124426543	#	#	#	#	#	#	#	#	-7.1393143933524;-5.2363099964876	0.14750205196767996;1.42649268912032	#	0.18777526863058758;1.17188217639288	#	#	#	#	#	0.669307854362315;1.3562571295576848	#	0.70504832613784;1.28948048555216	-9.482493269105;-6.7208428024149995	#	-9.9425286618234;-7.5473334514166	#	#	0.25576099320345247;1.4463785778045475	-10.5282369004765;-7.7164763885635	#	-10.178773345613001;-8.373745574947	#	-11.289982572743751;-7.97589058549625	#	-10.6738930207112;-9.091023187668801	0.5100040034342566;1.0595582748617434	-10.98170020921;-9.10587796619	#	#	0.11179852178985294;1.298800823514147	#	#	#	-0.054470429271489984;0.96813966034149	metro_station	0.0024299999999999994	0.3	1	11.717888	348669	347536	0.475	11.717888	3	10
#	#	-3.79615709462161;-0.34556259859838967	-0.159220410166105;0.938568581180105	#	#	#	#	-3.9439495229457497;-1.4253775792942498	#	#	0.24279444722763;1.03368298387837	-3.82531828202975;-2.1999175676502496	#	#	-0.16698684938869496;0.8849703752546949	-4.544613175078901;-1.9532698934011	#	-5.3034319867351;-1.5899270196649	#	#	#	-5.100405508304;-2.4754424278159997	#	#	-0.026442709298645006;0.658031648560645	-6.7966953715797995;-2.325798879500199	#	#	#	#	0.18873826458829995;0.7596828192177001	-5.0001117501919;-3.0481661166480998	0.06611164805813496;1.080944037481865	-5.6293161995112;-2.6919590479488	#	#	-0.43422921766386;1.14250210905386	-5.9229518894740005;-2.813557077166	#	#	-0.11681502430038992;1.1737818477103898	-6.0940876337238;-2.9145554112761998	-0.08400922733192506;1.202515526135925	-6.4045240904236005;-2.7871035760964	0.26420344062393997;0.75188035508406	-6.6091410841528;-2.4750280840672003	-0.14502996248758504;1.193913360781585	#	#	#	-0.16408713613821013;1.2607565750762102	#	#	-7.4231432136476;-4.0347544318124	#	-7.46498263141145;-4.925544165168549	#	#	#	-7.4313943498854;-6.0775883613946	#	-7.6116087977225;-6.2631098516575	0.19411377722902495;0.7610745318009751	-8.9958770363945;-5.7675594116055	#	#	#	#	#	#	#	-9.694598849957499;-7.3498210461825	-0.12952783797796202;0.846032663419962	-9.9550282709956;-7.9600845151444	-0.17312127731606508;1.0858205578460651	-10.273575690495552;-8.73698392126445	#	#	#	metro_station	0.0024299999999999994	0.3	1	13.484544	349846	347551	0.45	13.484544	3	10
#	0.23369590437280807;0.866302729497192	-3.5766746664510203;-0.5818190661289799	0.14673939496154498;1.051933826422455	-5.34568087128915;-1.62379848797085	0.010582421630740024;0.89029949374126	-4.6315537580737995;-3.0211341732062	#	#	0.22579336057037502;0.865679439529625	#	0.45165123847541;0.93964629300459	#	0.10464678245513004;1.26534274626087	-6.93471099786;-2.15353388442	0.078276007167285;1.061252430194715	#	#	-5.8933865427769;-4.1054026697431	#	#	0.15081896743634;1.01500738701366	-6.654462362495201;-4.5544918981048	0.08417350949199998;1.007439125444	#	#	#	0.18462056485453;0.79228827585347	-7.51952833785455;-3.5157509764054504	#	-7.589504745923049;-3.4804834787369496	-0.0995254184012;0.8792366752492	-7.514583963965901;-2.8702995255340995	-0.026948643908690006;1.07106672825469	#	#	-8.0993687103152;-3.3749108780447994	#	-7.097976603086;-4.799728263554	-0.3094371982027502;2.4076286609824002	#	0.03355118519064998;0.7991594990953501	-7.8050962273058;-5.249001695534201	0.100678368193095;0.6746663351249049	-7.98327064439075;-5.0764148739492505	-0.09451885486512002;0.88083497405512	#	#	#	#	#	#	-8.75619679950775;-4.5913264322522505	-0.16899445080280007;1.0355810562608	-7.9595275414992;-5.7440425687608	#	#	0.058511401539020014;0.76817902368498	-8.5591332075115;-6.6259778808285	-0.27669965215814996;1.07888415429015	-9.344676427755001;-6.741203372965001	#	-8.833892251099;-7.215693515821	-0.06076632118422254;0.9408643452262225	#	-0.2510107996563839;1.1318007632223839	#	0.731767181662978;0.9035712211204188	-9.9309665850662;-8.6937055764938	-0.124401906474366;1.160861107466366	#	0.024564712895321972;1.009972372006678	-10.01952394663;-7.802643113970001	#	#	0.13666006500336098;0.8920251661006391	#	0.019117922337560045;1.0596358076044399	#	0.2744663880532;0.9342148329648	train	0.0	0.0	1	14.0	347560	347560	0.5875	14.0	0	1
#	0.18896630199556397;0.577156853776436	#	#	#	0.06719264486564008;1.0299018935903599	-6.314461863132399;-3.3413795526076	#	-6.5326929853375;-3.4612637857625	-0.03070952230649998;0.5918823383025	#	0.021908410470529938;0.9810711038554701	-6.208405376036;-4.282004529364	#	-6.1469111959000005;-4.55318549142	#	#	#	#	#	-6.6841557061634;-3.2978963821765994	#	#	#	-7.60686177724265;-4.73916452353735	0.17282786934118494;0.8160928905642889	#	0.16834333523874;0.92382211107526	#	#	-8.51863598626265;-5.851808220194868	0.13429256263745998;0.73786252038854	#	#	#	#	#	#	#	#	#	#	#	0.34145062907265;0.93523128451935	#	0.387536693224495;1.589311946715505	#	0.576809401576025;1.476099693323975	#	0.24869742918076;1.56123502488724	#	#	-8.961236439494751;-4.53192985844525	#	-9.5775811702308;-5.2769338702092	#	#	#	#	#	#	#	-9.4119517956276;-6.6070739878124005	0.6583534137877649;1.3765037029122351	-10.500360092482;-6.751346076597999	#	#	#	-10.317609095598899;-7.401208146821099	0.3425224679204284;1.4198752884295716	#	#	#	#	#	0.23562063829731195;1.3866531733026881	#	#	-10.340984887949102;-8.0637010888309	0.09790569723255993;1.2854528980734399	bus	0.13168724279835387	0.6666666666666666	2	12.48544	349685	347593	0.35	24.97088	6	9
-6.32816573692125;-2.9250403974187495	#	#	-0.09121174738033494;0.6599070361723349	#	#	#	-0.05537211391194996;1.4506755631965107	#	#	#	-0.07234470655950004;0.76757708749563	#	#	#	#	#	0.074660830091;0.65416796997384	-7.96859453423405;-4.7560210956605005	#	-8.7462804325476;-4.4968569671524	#	#	#	#	0.01979300374078996;0.9476365697032675	#	#	#	#	-9.136670935943;-5.095010673137001	#	#	#	#	#	-9.662938201468801;-6.2152253799254	#	#	-0.2982515929106102;1.5159728700375221	#	-0.11066795182619005;0.74243845509619	-10.1487185173022;-5.8469984516378	#	#	0.486053504751585;0.7385861597911549	#	#	#	#	#	#	#	-0.03551598129236;1.0183142870180202	-9.637205892007799;-6.9331240002928	#	#	#	#	-0.4337817150035401;0.8314298376815401	-10.5998423868954;-9.246036398404598	#	-11.7027006258567;-8.8154072175806	#	#	#	#	0.25874533610560924;0.817973750382372	-11.9849111772256;-9.385736329517501	#	-12.0445142758855;-9.186554855114501	#	-12.068542976612498;-9.6344414370375	#	#	#	#	-0.5560214411578001;0.7446259154258	-10.597171087198419;-10.128306627925301	-0.502321446905235;0.39800227016543005	residential_area	0.05115391902142258	0.7352941176470589	1	10.5	347597	347597	0.325	10.5	0	0
