A_0	A_1	R_0	R_1	R_2	R_3	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
0	#	#	0	#	0	0	0.2373046875	0.75	1	166.4945612267739	9325	2370	0.5	166.4945612267739	714	952
1	#	1	#	0	#	0	0.23647668870037358	0.749475890985325	1	149.25822021953002	9999	2375	0.5	151.32277527441252	715	954
0	#	0	#	0	#	0	0.2360570315518369	0.7492096944151738	1	161.78540825871477	9945	2393	0.5	161.78540825871477	711	949
0	#	0	#	1	#	0	0.23688198599089608	0.7497326203208556	4	150.24904153593857	9995	2539	0.5	600.9961661437543	701	935
0	#	#	1	1	1	1	0.2347639755129309	0.7483870967741936	3	163.51433209747037	9976	2566	0.6666666666666666	490.5429962924111	348	465
#	#	#	1	1	1	1	0.5113249066908472	0.8744588744588745	1	169.67871399234213	9976	2588	0.5	169.67871399234213	808	924
#	0	#	1	1	#	1	0.23559746662675993	0.7489177489177489	4	145.0361896953834	9943	2599	0.5	580.1447587815336	692	924
#	0	0	#	#	0	0	0.23817905901892908	0.7505518763796909	7	155.6315032647469	9977	2731	0.5	17338.32858585296	680	906
#	0	#	0	0	0	0	0.2373046875	0.75	1	173.85940833609808	9977	2759	0.6666666666666666	173.85940833609808	339	452
#	#	0	1	1	1	1	0.23642902540212465	0.7494456762749445	2	152.27082715767162	9939	2771	0.6666666666666666	304.54165431534324	338	451
#	#	#	1	1	0	1	0.09568681324215193	0.6254180602006689	1	138.59494703835884	9970	2802	0.5	138.59494703835884	561	897
1	#	0	#	0	#	0	0.23686310837513377	0.7497206703910615	4	156.11454371235135	9977	2848	0.5	624.4581748494054	671	895
#	0	#	#	0	0	0	0.2373046875	0.75	6	166.05270766281825	9977	2848	0.5	13641.412992676087	669	892
#	#	#	#	#	0	0	0.09553378948766322	0.6252178965717606	2	155.37212790114168	9977	3113	0.16666666666666666	3522.843188048196	2152	3442
#	1	0	#	0	1	1	0.2373046875	0.75	1	140.9096763887585	9826	3135	0.6666666666666666	140.9096763887585	321	428
#	#	1	#	0	0	0	0.09581600766715594	0.6255868544600939	1	153.39253674581875	9925	3197	0.5	153.39253674581875	533	852
#	1	#	#	1	0	0	0.23682450820074677	0.7496962332928311	5	151.06979885787229	9961	3422	0.5	8635.912382631348	617	823
0	#	1	#	1	#	1	0.23681009682691162	0.7496871088861077	4	164.33266823806875	9976	3607	0.5	657.330672952275	599	799
1	1	#	#	1	#	0	0.03164456570643908	0.5012562814070352	1	157.70763729437115	9961	3614	0.5	2698.800597059991	399	796
0	#	0	#	1	0	0	0.23628446249634596	0.7493540051679587	1	149.45461983515804	9963	3819	0.6666666666666666	149.45461983515804	290	387
#	#	1	1	1	#	1	0.5119530861378006	0.8746736292428199	3	176.42343350216393	9976	3864	0.5	529.2703005064918	670	766
#	#	1	#	1	1	1	0.5109936690706671	0.8743455497382199	3	180.08725871551582	9976	3868	0.5	540.2617761465474	668	764
0	#	1	#	#	0	1	0.23678405433628696	0.7496706192358367	3	155.0449719431794	9966	3920	0.5	465.1349158295382	569	759
0	#	1	#	0	#	1	0.23574142095901165	0.7490092470277411	4	154.21467009992452	9966	3950	0.5	616.8586803996981	567	757
0	#	#	0	0	#	0	0.2356903758947944	0.7489768076398363	5	163.54888585095327	9975	4121	0.5	9394.268343438776	549	733
#	#	1	1	#	1	1	0.5114112464719981	0.8744884038199181	8	173.81307703926797	9976	4124	0.5	1456.1307703926798	641	733
#	#	0	#	0	0	0	0.5154405640678636	0.8758620689655172	3	177.2129726236936	9977	4192	0.5	531.6389178710808	635	725
#	#	1	#	1	#	1	0.23672448071791397	0.749632892804699	4	159.67972308811537	9998	4552	0.3333333333333333	638.7188923524615	1021	1362
#	1	1	#	#	0	0	0.23672277339209635	0.7496318114874816	4	155.31566518906106	9961	4574	0.5	621.2626607562443	509	679
#	#	1	0	#	0	0	0.0955104970688937	0.6251874062968515	2	153.16711592046417	9961	4669	0.5	3473.694594234885	417	667
1	#	0	0	1	#	1	0.23482762478473768	0.7484276729559748	1	152.55612971295844	9988	4904	0.6666666666666666	152.55612971295844	238	318
#	#	1	#	#	1	1	0.23572812726361614	0.7490007993605116	2	159.79739268475925	9976	5000	0.3333333333333333	328.9934817118981	937	1251
#	#	1	1	#	0	1	0.09520990370734611	0.6247933884297521	1	151.67064571200422	9943	5143	0.5	151.67064571200422	378	605
0	#	#	0	1	1	0	0.23862158042165266	0.7508305647840532	4	158.62630509716485	9995	5193	0.6666666666666666	634.5052203886594	226	301
#	0	0	1	#	1	0	0.23862158042165266	0.7508305647840532	1	143.02387480146518	9292	5196	0.6666666666666666	143.02387480146518	226	301
#	1	1	0	#	#	0	0.23863040871033292	0.7508361204013378	3	150.5179334435712	9975	5225	0.5	451.55380033071356	449	598
#	0	#	1	0	0	0	0.23865761835622623	0.7508532423208191	1	159.0675254008042	9952	5280	0.6666666666666666	159.0675254008042	220	293
#	0	1	#	0	#	0	0.03125	0.5	1	146.31338317155104	9999	5327	0.5	2580.501781145743	292	584
1	#	#	1	1	#	1	0.23867638723997833	0.7508650519031141	4	149.9461863456608	9939	5351	0.5	599.7847453826432	434	578
0	#	1	#	#	1	1	0.23522672580617074	0.7486818980667839	2	163.70610162149106	9976	5448	0.5	327.4122032429821	426	569
0	#	#	1	1	#	1	0.23519719919186724	0.7486631016042781	2	154.93589515800528	9976	5510	0.5	309.87179031601056	420	561
1	#	#	0	#	1	1	0.23801560576654593	0.7504488330341114	4	153.06985341852422	9988	5537	0.5	612.2794136740969	418	557
1	#	1	#	#	1	1	0.2373046875	0.75	5	162.35809193869636	9967	5660	0.5	9478.788137517115	405	540
#	0	#	0	#	#	1	0.03125	0.5	1	159.10554702763858	9998	5670	0.3333333333333333	2757.0999560364066	541	1082
1	0	#	#	#	#	0	0.03139754459113073	0.5004712535344015	2	152.26666970374094	9999	5753	0.3333333333333333	10749.600374597461	531	1061
#	#	#	1	0	0	0	0.0957420086797937	0.6254901960784314	1	149.35288281382884	9952	5909	0.5	149.35288281382884	319	510
1	#	1	0	#	1	1	0.2373046875	0.75	2	151.29967493318173	9967	5935	0.6666666666666666	302.59934986636347	189	252
0	0	#	#	#	1	0	0.031882570564059055	0.5020080321285141	1	154.19845423977512	9995	6027	0.5	2619.0506811612804	250	498
#	1	1	0	0	#	0	0.2373046875	0.75	1	148.73993100102052	9975	6146	0.6666666666666666	148.73993100102052	180	240
#	0	1	1	#	1	1	0.23225583640721675	0.7467811158798283	1	167.25878034328312	9880	6256	0.6666666666666666	173.8234754291039	174	233
#	#	1	0	1	1	1	0.2314600316517187	0.746268656716418	1	167.73427281117006	9864	6792	0.6666666666666666	167.73427281117006	150	201
#	1	#	1	#	0	1	0.030860354003887855	0.49874686716791977	1	143.63539193306624	9970	6811	0.5	2520.4481756160985	199	399
#	#	0	0	1	1	0	0.03125	0.5	1	164.79782995346244	9995	6900	0.6666666666666666	2855.7400933397876	97	194
1	1	#	0	#	#	0	0.03167343555665732	0.5013477088948787	1	152.58621192195886	9961	7030	0.5	2608.7792432749916	186	371
#	#	0	0	#	0	0	0.5168604494871423	0.8763440860215054	1	176.72713384714308	9977	7030	0.5	176.72713384714308	326	372
1	#	#	0	0	#	0	0.2373046875	0.75	1	152.80421774263445	9977	7047	0.5	152.80421774263445	276	368
#	#	#	1	#	0	1	0.03082541392203898	0.49863387978142076	1	143.83554868567757	9970	7067	0.3333333333333333	2526.8213009626566	365	732
1	#	1	#	#	0	0	0.23515130168221252	0.7486338797814208	4	150.39949129110275	9961	7070	0.5	601.597965164411	274	366
1	0	#	0	#	1	1	0.03125	0.5	1	162.63582115054396	9988	7172	0.6666666666666666	2818.2751872643166	88	176
#	#	0	0	0	#	0	0.5085100855942729	0.8734939759036144	4	167.06874189862242	9977	7353	0.5	668.2749675944897	290	332
#	#	0	1	#	1	1	0.09244227392200599	0.6211180124223602	2	146.52412593732456	9939	7430	0.5	3433.33137898512	200	322
#	1	0	0	#	#	0	0.23855497286298294	0.750788643533123	3	162.4889554376527	9945	7469	0.5	487.4668663129581	238	317
#	#	0	0	#	1	0	0.095367431640625	0.625	1	159.19952171547743	9995	7627	0.5	159.19952171547743	185	296
0	#	#	0	0	1	0	0.2373046875	0.75	2	148.32648115273545	9975	7735	0.6666666666666666	296.6529623054709	105	140
#	1	1	0	1	#	0	0.2373046875	0.75	1	154.27571027574965	9961	7817	0.6666666666666666	154.27571027574965	102	136
#	1	1	1	#	0	0	0.03010961282556225	0.4962962962962963	1	151.92196137320963	9950	7838	0.6666666666666666	2732.3265336427635	67	135
1	#	#	#	0	1	1	0.03125	0.5	1	144.43542686363665	9967	7855	0.5	2471.4868117062992	135	270
#	1	0	0	0	#	0	0.2342067575938101	0.7480314960629921	2	163.2783641401129	9945	7961	0.6666666666666666	326.5567282802258	95	127
#	1	1	#	1	0	0	0.23410655790434154	0.7479674796747967	1	155.24362396509196	9961	8030	0.6666666666666666	155.24362396509196	92	123
1	1	#	#	#	#	1	0.030930473033890453	0.4989733059548255	2	155.30279990703832	9967	8047	0.3333333333333333	10876.01823087638	243	487
#	1	1	0	#	1	0	0.03125	0.5	1	140.6092819564863	9975	8073	0.6666666666666666	2436.582836632311	60	120
1	#	#	#	0	1	0	0.03125	0.5	1	144.43542686363665	9999	8079	0.5	2571.1086980077384	120	240
#	1	#	0	0	1	1	0.03125	0.5	1	132.10383263699975	9967	8111	0.6666666666666666	2289.194047347971	59	118
1	0	0	#	#	#	0	0.03125	0.5	1	159.66569099400795	9977	8185	0.5	2766.8065497655543	113	226
1	0	#	0	#	1	0	0.02981676068313592	0.4953271028037383	1	162.63582115099157	9302	8278	0.6666666666666666	2953.7447255987295	53	107
#	0	0	0	#	0	0	0.2410954204315711	0.7523809523809524	1	170.2191967327381	9977	8313	0.6666666666666666	170.2191967327381	79	105
0	#	#	1	0	0	1	0.22965034521487823	0.7450980392156863	1	145.61711818353984	9808	8347	0.6666666666666666	145.61711818353984	76	102
0	1	#	1	#	#	0	0.0	0.0	1	158.37542734801676	8384	8384	0.5	8576.399674931892	0	202
#	1	#	#	1	#	0	0.0316666607800829	0.5013262599469496	1	157.16551437059024	9961	8489	0.3333333333333333	2687.6468338471736	189	377
0	#	#	1	0	#	1	0.23299017196734473	0.7472527472527473	2	152.79989974005912	9920	8539	0.5	305.59979948011824	136	182
#	#	1	#	#	0	0	0.031702890995480223	0.5014409221902018	2	151.7817752464742	9961	8606	0.3333333333333333	10370.458642085749	174	347
1	#	1	#	#	#	1	0.030346882044112528	0.49707602339181284	1	152.27263410119755	9998	8623	0.3333333333333333	2727.284947625526	170	342
1	0	#	#	#	1	1	0.030336320729380847	0.4970414201183432	1	157.71094769393545	9988	8644	0.5	2805.328246437211	84	169
1	#	0	0	#	0	0	0.24222785347949022	0.7530864197530864	1	168.1428439822111	9977	8697	0.6666666666666666	168.1428439822111	61	81
#	1	#	#	0	#	0	0.03076626321556655	0.4984423676012461	1	158.28640866729208	9975	8709	0.3333333333333333	2786.0319094282468	160	321
1	1	#	1	#	#	0	0.030291484318762937	0.4968944099378882	1	156.38557613172767	9950	8709	0.5	2795.717928560987	80	161
#	#	0	0	0	0	0	1.0	1.0	4	195.65069536517177	9977	8761	0.6666666666666666	782.6027814606871	78	78
#	1	1	#	0	1	1	0.23207791712921816	0.7466666666666667	1	156.22734545494725	9967	8815	0.6666666666666666	156.22734545494725	56	75
#	0	#	1	0	1	0	0.2373046875	0.75	2	147.17933018175933	9999	8847	0.6666666666666666	297.4483254543983	54	72
#	1	#	0	#	1	0	0.03125	0.5	1	141.6468616640847	9975	8887	0.5	2454.5627940860054	69	138
1	1	#	1	#	#	1	0.03240728271932168	0.5036496350364964	1	156.38557613172912	9939	8901	0.5	2613.19181019145	69	137
0	0	1	#	#	#	0	0.0	0.0	1	161.92853427998463	8976	8976	0.5	8768.808722513282	0	127
0	1	#	#	0	#	0	0.03125	0.5	1	158.19980376477594	9975	9015	0.5	2741.4045591324566	62	124
0	0	#	0	1	1	0	0.03125	0.5	1	165.42955756745275	9995	9035	0.8333333333333334	2866.687142071263	15	30
1	1	#	1	1	#	0	0.03419611030046381	0.509090909090909	1	159.67043260055075	9950	9107	0.6666666666666666	2528.5119158655652	28	55
0	#	#	#	#	1	0	0.03197671310525621	0.5023041474654378	2	153.1508666930362	9995	9140	0.3333333333333333	10374.396484175439	109	217
1	0	1	#	#	0	0	0.028188749379596083	0.4897959183673469	1	144.511508788026	9223	9223	0.6666666666666666	2776.1558221277414	24	49
0	#	#	#	#	1	1	0.028744658863218614	0.49171270718232046	1	153.1508666930362	9976	9286	0.3333333333333333	2885.223839263812	89	181
0	1	0	#	#	#	0	0.03125	0.5	1	160.5998924742897	9945	9325	0.5	2782.995091952374	42	84
0	#	0	1	#	0	0	0.02724920932908401	0.4864864864864865	1	132.3428441155826	9963	9387	0.6666666666666666	2630.048579314455	18	37
1	1	#	#	#	0	1	0.0	0.0	1	157.86153640861227	9502	9502	0.5	8548.5712790787	0	63
1	1	1	#	#	#	1	0.0286899592428037	0.4915254237288136	1	160.42756671054306	9967	9519	0.5	3028.0725552174686	29	59
#	1	#	#	1	#	1	0.029958857775924084	0.4957983193277311	1	157.1655143706082	9976	9522	0.3333333333333333	2840.855990594816	59	119
1	#	1	1	0	#	0	0.21208362139917689	0.7333333333333333	1	151.61730638152235	9999	9541	0.6666666666666666	154.27163297690294	22	30
0	0	#	0	#	1	0	0.03125	0.5	1	162.75535426047836	9995	9611	0.6666666666666666	2820.346546423704	12	24
#	0	#	#	#	0	0	0.03125	0.5	1	152.29883641927412	9977	9643	0.3333333333333333	2639.1481820745967	43	86
1	1	#	#	#	1	0	0.0	0.0	1	155.2807694355627	9647	9647	0.5	8408.816713617603	0	43
1	#	#	#	1	1	0	0.0	0.0	1	179.0596656054231	9692	9692	0.5	9696.499536618265	0	36
0	0	#	#	#	0	0	0.03125	0.5	1	156.2671970511085	9963	9707	0.5	2707.9149040900556	17	34
#	0	0	1	#	0	0	0.21208362139917689	0.7333333333333333	1	138.93157318656	9963	9760	0.6666666666666666	138.93157318656	11	15
